2023-09-03 20:31:58 RAM 3316/3956MB (lfb 27x4MB) SWAP 1452/4026MB (cached 120MB) CPU [31%@204,26%@204,31%@204,25%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@43.5C PMIC@50C GPU@41.5C AO@50.5C thermal@42.5C
2023-09-03 20:32:58 RAM 3314/3956MB (lfb 27x4MB) SWAP 1452/4026MB (cached 120MB) CPU [25%@1224,28%@1224,31%@1224,28%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@44C PMIC@50C GPU@41.5C AO@51C thermal@42.5C
2023-09-03 20:33:58 RAM 3317/3956MB (lfb 27x4MB) SWAP 1454/4026MB (cached 120MB) CPU [25%@825,25%@825,21%@825,17%@825] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@43C PMIC@50C GPU@41C AO@50.5C thermal@42.25C
2023-09-03 20:34:58 RAM 3321/3956MB (lfb 27x4MB) SWAP 1448/4026MB (cached 116MB) CPU [27%@403,29%@403,28%@403,25%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@43.5C PMIC@50C GPU@41C AO@50.5C thermal@42.5C
2023-09-03 20:35:58 RAM 3316/3956MB (lfb 28x4MB) SWAP 1450/4026MB (cached 116MB) CPU [25%@1479,30%@1479,32%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@45C PMIC@50C GPU@41.5C AO@50.5C thermal@42.25C
2023-09-03 20:36:58 RAM 3318/3956MB (lfb 28x4MB) SWAP 1450/4026MB (cached 116MB) CPU [25%@614,21%@614,22%@614,20%@614] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@43C PMIC@50C GPU@41C AO@50C thermal@41.75C
2023-09-03 20:37:58 RAM 3322/3956MB (lfb 28x4MB) SWAP 1450/4026MB (cached 116MB) CPU [31%@710,27%@710,30%@710,23%@710] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@44C PMIC@50C GPU@41.5C AO@50.5C thermal@42.25C
2023-09-03 20:38:58 RAM 3312/3956MB (lfb 28x4MB) SWAP 1457/4026MB (cached 116MB) CPU [29%@518,27%@518,28%@518,27%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@43.5C PMIC@50C GPU@41.5C AO@50.5C thermal@42.5C
2023-09-03 20:39:58 RAM 3318/3956MB (lfb 27x4MB) SWAP 1457/4026MB (cached 116MB) CPU [23%@307,25%@307,22%@307,22%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@43.5C PMIC@50C GPU@41C AO@51C thermal@42.75C
2023-09-03 20:40:58 RAM 3316/3956MB (lfb 27x4MB) SWAP 1457/4026MB (cached 116MB) CPU [29%@1479,27%@1479,26%@1479,26%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@43.5C PMIC@50C GPU@41C AO@51C thermal@42.5C
2023-09-03 20:41:58 RAM 3342/3956MB (lfb 27x4MB) SWAP 1455/4026MB (cached 117MB) CPU [31%@1479,30%@1479,32%@1479,29%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39.5C CPU@44C PMIC@50C GPU@41.5C AO@51C thermal@42.75C
