2023-09-01 12:44:05 RAM 3531/3956MB (lfb 2x2MB) SWAP 1501/4026MB (cached 188MB) CPU [36%@1479,38%@1479,42%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 98% PLL@33.5C CPU@38.5C PMIC@50C GPU@35C AO@44.5C thermal@36.75C
2023-09-01 12:45:05 RAM 3532/3956MB (lfb 1x2MB) SWAP 1501/4026MB (cached 188MB) CPU [39%@1479,42%@1479,42%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35C AO@44.5C thermal@36.25C
2023-09-01 12:46:05 RAM 3535/3956MB (lfb 1x2MB) SWAP 1501/4026MB (cached 188MB) CPU [45%@1479,36%@1479,37%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 95% PLL@34C CPU@37.5C PMIC@50C GPU@35.5C AO@44C thermal@37.25C
2023-09-01 12:47:05 RAM 3534/3956MB (lfb 1x2MB) SWAP 1501/4026MB (cached 188MB) CPU [42%@1479,41%@1479,36%@1479,35%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@38.5C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-01 12:48:05 RAM 3537/3956MB (lfb 1x2MB) SWAP 1501/4026MB (cached 188MB) CPU [45%@1479,36%@1479,42%@1479,34%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@38C PMIC@50C GPU@35.5C AO@44C thermal@37C
2023-09-01 12:49:05 RAM 3546/3956MB (lfb 1x2MB) SWAP 1501/4026MB (cached 188MB) CPU [36%@1479,38%@1479,41%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 55% PLL@34C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@37.25C
2023-09-01 12:50:05 RAM 3547/3956MB (lfb 1x2MB) SWAP 1501/4026MB (cached 188MB) CPU [41%@1479,35%@1479,38%@1479,43%@1479] EMC_FREQ 0% GR3D_FREQ 87% PLL@34.5C CPU@38C PMIC@50C GPU@35.5C AO@44C thermal@36.75C
2023-09-01 12:51:05 RAM 3550/3956MB (lfb 1x2MB) SWAP 1501/4026MB (cached 188MB) CPU [37%@1479,38%@1479,40%@1479,41%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@38.5C PMIC@50C GPU@35.5C AO@44.5C thermal@36.25C
2023-09-01 12:52:05 RAM 3553/3956MB (lfb 1x2MB) SWAP 1501/4026MB (cached 188MB) CPU [39%@1479,42%@1479,39%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@37C PMIC@50C GPU@35.5C AO@44C thermal@36.5C
2023-09-01 12:53:05 RAM 3553/3956MB (lfb 1x2MB) SWAP 1501/4026MB (cached 188MB) CPU [36%@1479,41%@1479,36%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36.5C
2023-09-01 12:54:05 RAM 3560/3956MB (lfb 1x2MB) SWAP 1497/4026MB (cached 185MB) CPU [37%@1479,35%@1479,37%@1479,45%@1479] EMC_FREQ 0% GR3D_FREQ 47% PLL@33.5C CPU@37C PMIC@50C GPU@35.5C AO@44C thermal@36.75C
