2023-09-01 08:46:48 RAM 3525/3956MB (lfb 1x4MB) SWAP 1338/4026MB (cached 158MB) CPU [31%@307,29%@307,28%@307,27%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@36C AO@44C thermal@36.25C
2023-09-01 08:47:48 RAM 3518/3956MB (lfb 1x4MB) SWAP 1344/4026MB (cached 158MB) CPU [30%@710,31%@710,27%@710,26%@710] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35.5C AO@44C thermal@36C
2023-09-01 08:48:48 RAM 3517/3956MB (lfb 1x4MB) SWAP 1350/4026MB (cached 158MB) CPU [29%@518,27%@518,22%@518,21%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@37.5C PMIC@50C GPU@35.5C AO@44.5C thermal@37C
2023-09-01 08:49:48 RAM 3516/3956MB (lfb 1x4MB) SWAP 1354/4026MB (cached 158MB) CPU [30%@1479,29%@1479,32%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@38.5C PMIC@50C GPU@35.5C AO@44.5C thermal@36.25C
2023-09-01 08:50:48 RAM 3502/3956MB (lfb 1x4MB) SWAP 1401/4026MB (cached 156MB) CPU [34%@518,33%@518,33%@518,29%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@35C AO@44C thermal@37C
2023-09-01 08:51:48 RAM 3504/3956MB (lfb 1x4MB) SWAP 1402/4026MB (cached 156MB) CPU [26%@307,24%@307,19%@307,17%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-01 08:52:48 RAM 3511/3956MB (lfb 1x4MB) SWAP 1404/4026MB (cached 156MB) CPU [30%@307,27%@307,24%@307,26%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@37C PMIC@50C GPU@35.5C AO@44C thermal@36.5C
2023-09-01 08:53:48 RAM 3506/3956MB (lfb 1x4MB) SWAP 1404/4026MB (cached 156MB) CPU [27%@307,26%@307,27%@307,27%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-01 08:54:48 RAM 3508/3956MB (lfb 1x4MB) SWAP 1404/4026MB (cached 156MB) CPU [26%@1479,15%@1479,18%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@34.5C AO@44C thermal@35.75C
2023-09-01 08:55:48 RAM 3513/3956MB (lfb 1x4MB) SWAP 1405/4026MB (cached 156MB) CPU [30%@1479,29%@1479,24%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@38.5C PMIC@50C GPU@35.5C AO@44C thermal@36C
2023-09-01 08:56:48 RAM 3508/3956MB (lfb 1x4MB) SWAP 1405/4026MB (cached 156MB) CPU [28%@1479,30%@1479,27%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36.5C
2023-09-01 08:57:48 RAM 3511/3956MB (lfb 1x4MB) SWAP 1405/4026MB (cached 156MB) CPU [25%@307,20%@307,21%@307,16%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36C
2023-09-01 08:58:48 RAM 3516/3956MB (lfb 1x4MB) SWAP 1405/4026MB (cached 156MB) CPU [30%@307,25%@307,23%@307,27%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@43.5C thermal@36C
2023-09-01 08:59:48 RAM 3511/3956MB (lfb 1x4MB) SWAP 1405/4026MB (cached 156MB) CPU [31%@204,26%@204,27%@204,25%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@34.5C AO@44C thermal@36C
2023-09-01 09:00:48 RAM 3516/3956MB (lfb 1x4MB) SWAP 1405/4026MB (cached 156MB) CPU [23%@1479,25%@1479,19%@1479,18%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@36.5C PMIC@50C GPU@34.5C AO@43.5C thermal@36.75C
2023-09-01 09:01:48 RAM 3519/3956MB (lfb 1x4MB) SWAP 1405/4026MB (cached 156MB) CPU [29%@1479,28%@1479,24%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@38.5C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-01 09:02:48 RAM 3514/3956MB (lfb 1x4MB) SWAP 1405/4026MB (cached 156MB) CPU [26%@921,27%@921,26%@921,27%@921] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@38C PMIC@50C GPU@35.5C AO@44C thermal@36.25C
2023-09-01 09:03:48 RAM 3520/3956MB (lfb 1x4MB) SWAP 1405/4026MB (cached 156MB) CPU [23%@307,20%@307,22%@307,19%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44C thermal@36C
