2023-09-05 03:39:55 RAM 3543/3956MB (lfb 7x4MB) SWAP 2013/4026MB (cached 69MB) CPU [31%@1479,25%@1479,27%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@35C AO@44.5C thermal@35.75C
2023-09-05 03:40:55 RAM 3548/3956MB (lfb 7x4MB) SWAP 2013/4026MB (cached 69MB) CPU [34%@1428,27%@1428,28%@1428,29%@1428] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 03:41:55 RAM 3541/3956MB (lfb 7x4MB) SWAP 2013/4026MB (cached 67MB) CPU [34%@1224,31%@1224,34%@1224,35%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@36.5C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 03:42:55 RAM 3546/3956MB (lfb 7x4MB) SWAP 2012/4026MB (cached 67MB) CPU [28%@1479,22%@1479,24%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37.5C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 03:43:55 RAM 3544/3956MB (lfb 7x4MB) SWAP 2012/4026MB (cached 67MB) CPU [31%@1479,35%@1479,32%@1479,31%@1479] EMC_FREQ 0% GR3D_FREQ 37% PLL@33C CPU@37.5C PMIC@50C GPU@34.5C AO@44C thermal@36C
2023-09-05 03:44:55 RAM 3551/3956MB (lfb 7x4MB) SWAP 2012/4026MB (cached 67MB) CPU [34%@1224,32%@1224,31%@1224,32%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@34.5C AO@44C thermal@36C
2023-09-05 03:45:55 RAM 3549/3956MB (lfb 7x4MB) SWAP 2012/4026MB (cached 67MB) CPU [27%@1224,23%@1224,26%@1224,25%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 03:46:55 RAM 3546/3956MB (lfb 7x4MB) SWAP 2007/4026MB (cached 67MB) CPU [31%@1479,33%@1479,33%@1479,31%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@38C PMIC@50C GPU@34.5C AO@44C thermal@36.25C
2023-09-05 03:47:55 RAM 3549/3956MB (lfb 7x4MB) SWAP 2006/4026MB (cached 67MB) CPU [32%@1224,28%@1224,28%@1224,31%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-05 03:48:55 RAM 3537/3956MB (lfb 7x4MB) SWAP 2012/4026MB (cached 67MB) CPU [31%@1224,27%@1224,31%@1224,25%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37.5C PMIC@50C GPU@35C AO@45C thermal@36.5C
2023-09-05 03:49:55 RAM 3542/3956MB (lfb 7x4MB) SWAP 2012/4026MB (cached 67MB) CPU [34%@1479,30%@1479,34%@1479,33%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C CPU@37C PMIC@50C GPU@34.5C AO@44C thermal@36C
2023-09-05 03:50:55 RAM 3527/3956MB (lfb 7x4MB) SWAP 2014/4026MB (cached 48MB) CPU [27%@1224,27%@1224,24%@1224,27%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@36.5C PMIC@50C GPU@34.5C AO@44C thermal@36C
2023-09-05 03:51:55 RAM 3528/3956MB (lfb 7x4MB) SWAP 2014/4026MB (cached 45MB) CPU [32%@1224,33%@1224,29%@1224,31%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@36.5C PMIC@50C GPU@35C AO@44C thermal@36.25C
2023-09-05 03:52:55 RAM 3523/3956MB (lfb 7x4MB) SWAP 2014/4026MB (cached 42MB) CPU [32%@1224,33%@1224,38%@1224,33%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@37C PMIC@50C GPU@35C AO@44.5C thermal@36C
2023-09-05 03:53:55 RAM 3528/3956MB (lfb 7x4MB) SWAP 2014/4026MB (cached 38MB) CPU [27%@1224,28%@1224,25%@1224,23%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@36.5C PMIC@50C GPU@35C AO@44C thermal@35.75C
