2023-08-24 06:47:54 RAM 3235/3956MB (lfb 88x4MB) SWAP 1798/4026MB (cached 112MB) CPU [21%@1224,21%@1224,19%@1224,19%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@41C PMIC@50C GPU@38.5C AO@47.5C thermal@39.5C
2023-08-24 06:48:54 RAM 3238/3956MB (lfb 88x4MB) SWAP 1798/4026MB (cached 113MB) CPU [21%@1479,19%@1479,20%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40.5C PMIC@50C GPU@38C AO@47C thermal@39C
2023-08-24 06:49:54 RAM 3235/3956MB (lfb 88x4MB) SWAP 1802/4026MB (cached 113MB) CPU [23%@1326,19%@1326,26%@1326,23%@1326] EMC_FREQ 0% GR3D_FREQ 13% PLL@35.5C CPU@40C PMIC@50C GPU@37.5C AO@46.5C thermal@38.75C
2023-08-24 06:50:54 RAM 3239/3956MB (lfb 88x4MB) SWAP 1806/4026MB (cached 113MB) CPU [21%@1479,21%@1479,20%@1479,18%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@41C PMIC@50C GPU@38C AO@47C thermal@38.5C
2023-08-24 06:51:54 RAM 3234/3956MB (lfb 88x4MB) SWAP 1806/4026MB (cached 113MB) CPU [21%@204,20%@204,20%@204,19%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40C PMIC@50C GPU@38C AO@46.5C thermal@39.25C
2023-08-24 06:52:54 RAM 3235/3956MB (lfb 88x4MB) SWAP 1806/4026MB (cached 113MB) CPU [20%@403,18%@403,21%@403,20%@403] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40C PMIC@50C GPU@38C AO@46.5C thermal@38.75C
2023-08-24 06:53:54 RAM 3239/3956MB (lfb 88x4MB) SWAP 1806/4026MB (cached 113MB) CPU [22%@614,20%@614,29%@614,23%@614] EMC_FREQ 0% GR3D_FREQ 93% PLL@36C CPU@40C PMIC@50C GPU@38C AO@46.5C thermal@38.25C
2023-08-24 06:54:54 RAM 3243/3956MB (lfb 88x4MB) SWAP 1808/4026MB (cached 112MB) CPU [19%@1479,19%@1479,21%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36.5C CPU@40.5C PMIC@50C GPU@38C AO@47C thermal@39.25C
2023-08-24 06:55:54 RAM 3237/3956MB (lfb 88x4MB) SWAP 1805/4026MB (cached 113MB) CPU [21%@1479,20%@1479,20%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@36C CPU@40C PMIC@50C GPU@38C AO@47C thermal@39C
2023-08-24 06:56:54 RAM 3241/3956MB (lfb 88x4MB) SWAP 1805/4026MB (cached 113MB) CPU [22%@102,20%@102,20%@102,18%@102] EMC_FREQ 0% GR3D_FREQ 99% PLL@35.5C CPU@39.5C PMIC@50C GPU@37.5C AO@46.5C thermal@39.25C
