2023-09-04 00:27:19 RAM 3219/3956MB (lfb 22x4MB) SWAP 1754/4026MB (cached 131MB) CPU [29%@204,27%@204,25%@204,28%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36.5C PMIC@50C GPU@34C AO@43C thermal@35.5C
2023-09-04 00:28:19 RAM 3219/3956MB (lfb 22x4MB) SWAP 1754/4026MB (cached 131MB) CPU [26%@307,21%@307,19%@307,20%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36C PMIC@50C GPU@34.5C AO@43C thermal@35.25C
2023-09-04 00:29:19 RAM 3217/3956MB (lfb 22x4MB) SWAP 1740/4026MB (cached 137MB) CPU [27%@1479,26%@1479,26%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@36C PMIC@50C GPU@33.5C AO@43.5C thermal@35.25C
2023-09-04 00:30:19 RAM 3229/3956MB (lfb 22x4MB) SWAP 1740/4026MB (cached 137MB) CPU [25%@307,26%@307,28%@307,27%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36.5C PMIC@50C GPU@34C AO@43C thermal@35.25C
2023-09-04 00:31:19 RAM 3219/3956MB (lfb 22x4MB) SWAP 1742/4026MB (cached 137MB) CPU [31%@1479,26%@1479,27%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36C PMIC@50C GPU@33.5C AO@43.5C thermal@35.25C
2023-09-04 00:32:19 RAM 3219/3956MB (lfb 22x4MB) SWAP 1736/4026MB (cached 137MB) CPU [23%@825,21%@825,24%@825,20%@825] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36C PMIC@50C GPU@33.5C AO@43C thermal@35.25C
2023-09-04 00:33:19 RAM 3224/3956MB (lfb 22x4MB) SWAP 1736/4026MB (cached 137MB) CPU [33%@1479,23%@1479,20%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36.5C PMIC@50C GPU@34C AO@43C thermal@35.25C
2023-09-04 00:34:19 RAM 3227/3956MB (lfb 22x4MB) SWAP 1736/4026MB (cached 137MB) CPU [26%@1224,25%@1224,28%@1224,25%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36.5C PMIC@50C GPU@34C AO@43C thermal@35C
2023-09-04 00:35:19 RAM 3221/3956MB (lfb 22x4MB) SWAP 1736/4026MB (cached 137MB) CPU [29%@307,26%@307,27%@307,26%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36C PMIC@50C GPU@34.5C AO@43C thermal@35.25C
2023-09-04 00:36:19 RAM 3225/3956MB (lfb 22x4MB) SWAP 1736/4026MB (cached 137MB) CPU [26%@204,21%@204,22%@204,20%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36C PMIC@50C GPU@34C AO@43C thermal@34.75C
2023-09-04 00:37:19 RAM 3220/3956MB (lfb 22x4MB) SWAP 1736/4026MB (cached 137MB) CPU [27%@307,25%@307,23%@307,24%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36.5C PMIC@50C GPU@34C AO@43C thermal@35.25C
2023-09-04 00:38:19 RAM 3223/3956MB (lfb 22x4MB) SWAP 1736/4026MB (cached 137MB) CPU [25%@1479,25%@1479,28%@1479,27%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36C PMIC@50C GPU@34C AO@43C thermal@35.25C
2023-09-04 00:39:19 RAM 3227/3956MB (lfb 22x4MB) SWAP 1736/4026MB (cached 137MB) CPU [29%@307,28%@307,26%@307,26%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36C PMIC@50C GPU@34C AO@43C thermal@35.25C
2023-09-04 00:40:19 RAM 3226/3956MB (lfb 22x4MB) SWAP 1736/4026MB (cached 137MB) CPU [25%@204,21%@204,21%@204,22%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@31.5C CPU@36C PMIC@50C GPU@34C AO@43C thermal@34.75C
2023-09-04 00:41:19 RAM 3247/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 137MB) CPU [29%@1479,28%@1479,27%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@36C PMIC@50C GPU@34C AO@43.5C thermal@35C
2023-09-04 00:42:19 RAM 3234/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 137MB) CPU [32%@1479,27%@1479,25%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@33C CPU@36.5C PMIC@50C GPU@34C AO@43C thermal@35C
2023-09-04 00:43:19 RAM 3228/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 137MB) CPU [31%@1479,25%@1479,24%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@32.5C CPU@37C PMIC@50C GPU@34.5C AO@43.5C thermal@35.25C
2023-09-04 00:44:19 RAM 3247/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 137MB) CPU [27%@1224,26%@1224,25%@1224,23%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36C PMIC@50C GPU@34C AO@43C thermal@35C
2023-09-04 00:45:19 RAM 3232/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 137MB) CPU [25%@1224,23%@1224,24%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@31.5C CPU@36C PMIC@50C GPU@34C AO@43C thermal@35C
2023-09-04 00:46:20 RAM 3228/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 137MB) CPU [28%@204,24%@204,29%@204,24%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@31.5C CPU@35.5C PMIC@50C GPU@34C AO@43C thermal@34.75C
2023-09-04 00:47:20 RAM 3231/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 137MB) CPU [28%@1326,26%@1326,26%@1326,28%@1326] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C CPU@36.5C PMIC@50C GPU@34.5C AO@43C thermal@35C
2023-09-04 00:48:20 RAM 3233/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 137MB) CPU [26%@1036,24%@1036,22%@1036,22%@1036] EMC_FREQ 0% GR3D_FREQ 99% PLL@31.5C CPU@35.5C PMIC@50C GPU@34C AO@43C thermal@35C
2023-09-04 00:49:20 RAM 3234/3956MB (lfb 22x4MB) SWAP 1735/4026MB (cached 137MB) CPU [26%@1479,22%@1479,23%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 45% PLL@31.5C CPU@35.5C PMIC@50C GPU@33.5C AO@42.5C thermal@34.75C
