2023-08-27 23:42:32 RAM 3425/3956MB (lfb 5x2MB) SWAP 1555/4026MB (cached 125MB) CPU [22%@1224,19%@1224,19%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47.5C PMIC@50C GPU@44.5C AO@54.5C thermal@46.5C
2023-08-27 23:43:32 RAM 3432/3956MB (lfb 5x2MB) SWAP 1555/4026MB (cached 125MB) CPU [20%@1224,19%@1224,21%@1224,19%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@47.5C PMIC@50C GPU@44.5C AO@54C thermal@46C
2023-08-27 23:44:32 RAM 3436/3956MB (lfb 4x2MB) SWAP 1555/4026MB (cached 125MB) CPU [21%@1224,20%@1224,18%@1224,19%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46.5C PMIC@50C GPU@44C AO@53.5C thermal@45.5C
2023-08-27 23:45:32 RAM 3435/3956MB (lfb 5x1MB) SWAP 1555/4026MB (cached 125MB) CPU [16%@1224,15%@1224,14%@1224,16%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46C PMIC@50C GPU@43.5C AO@53.5C thermal@45C
2023-08-27 23:46:32 RAM 3424/3956MB (lfb 11x1MB) SWAP 1556/4026MB (cached 125MB) CPU [22%@1224,21%@1224,20%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46.5C PMIC@50C GPU@44C AO@53.5C thermal@45.25C
2023-08-27 23:47:32 RAM 3427/3956MB (lfb 1x2MB) SWAP 1556/4026MB (cached 125MB) CPU [23%@1479,19%@1479,17%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@47C PMIC@50C GPU@43.5C AO@53C thermal@45C
2023-08-27 23:48:32 RAM 3422/3956MB (lfb 13x1MB) SWAP 1556/4026MB (cached 125MB) CPU [19%@1224,22%@1224,18%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C CPU@46C PMIC@50C GPU@43.5C AO@52.5C thermal@44.25C
2023-08-27 23:49:32 RAM 3426/3956MB (lfb 13x1MB) SWAP 1556/4026MB (cached 125MB) CPU [17%@1326,18%@1326,19%@1326,19%@1326] EMC_FREQ 0% GR3D_FREQ 88% PLL@41.5C CPU@45.5C PMIC@50C GPU@43.5C AO@52.5C thermal@45.5C
2023-08-27 23:50:32 RAM 3428/3956MB (lfb 13x1MB) SWAP 1556/4026MB (cached 125MB) CPU [17%@1479,15%@1479,18%@1479,15%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@46C PMIC@50C GPU@43C AO@52.5C thermal@44.25C
2023-08-27 23:51:32 RAM 3423/3956MB (lfb 13x1MB) SWAP 1556/4026MB (cached 125MB) CPU [17%@1479,23%@1479,20%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@46.5C PMIC@50C GPU@43C AO@52.5C thermal@44C
2023-08-27 23:52:32 RAM 3427/3956MB (lfb 13x1MB) SWAP 1556/4026MB (cached 125MB) CPU [18%@1224,19%@1224,20%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C CPU@45C PMIC@50C GPU@43C AO@52C thermal@43.5C
2023-08-27 23:53:32 RAM 3430/3956MB (lfb 13x1MB) SWAP 1556/4026MB (cached 125MB) CPU [18%@1224,19%@1224,19%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@44.5C PMIC@50C GPU@43C AO@52.5C thermal@44.25C
2023-08-27 23:54:32 RAM 3425/3956MB (lfb 12x1MB) SWAP 1556/4026MB (cached 125MB) CPU [19%@1224,17%@1224,16%@1224,14%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C CPU@45.5C PMIC@50C GPU@43.5C AO@53C thermal@44.5C
2023-08-27 23:55:32 RAM 3427/3956MB (lfb 12x1MB) SWAP 1556/4026MB (cached 125MB) CPU [18%@1224,19%@1224,19%@1224,16%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C CPU@46C PMIC@50C GPU@44C AO@53C thermal@44.75C
2023-08-27 23:56:32 RAM 3431/3956MB (lfb 12x1MB) SWAP 1558/4026MB (cached 125MB) CPU [19%@1224,20%@1224,20%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42C CPU@46.5C PMIC@50C GPU@44C AO@53.5C thermal@45C
2023-08-27 23:57:32 RAM 3426/3956MB (lfb 12x1MB) SWAP 1558/4026MB (cached 125MB) CPU [22%@1224,21%@1224,17%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46.5C PMIC@50C GPU@44C AO@53.5C thermal@45C
2023-08-27 23:58:32 RAM 3429/3956MB (lfb 12x1MB) SWAP 1559/4026MB (cached 125MB) CPU [22%@1479,19%@1479,20%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46C PMIC@50C GPU@44C AO@53.5C thermal@45C
2023-08-27 23:59:32 RAM 3430/3956MB (lfb 12x1MB) SWAP 1559/4026MB (cached 125MB) CPU [15%@1224,16%@1224,15%@1224,15%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@42.5C CPU@46.5C PMIC@50C GPU@45C AO@54C thermal@45.75C
2023-08-28 00:00:32 RAM 3436/3956MB (lfb 10x1MB) SWAP 1554/4026MB (cached 125MB) CPU [21%@1479,21%@1479,18%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47.5C PMIC@50C GPU@44.5C AO@54.5C thermal@45.75C
2023-08-28 00:01:32 RAM 3437/3956MB (lfb 10x1MB) SWAP 1554/4026MB (cached 125MB) CPU [23%@1479,18%@1479,17%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@45C AO@54.5C thermal@45.75C
2023-08-28 00:02:32 RAM 3440/3956MB (lfb 10x1MB) SWAP 1554/4026MB (cached 125MB) CPU [19%@1479,21%@1479,19%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47C PMIC@50C GPU@44.5C AO@54.5C thermal@46C
