2023-09-04 23:24:32 RAM 3410/3956MB (lfb 1x4MB) SWAP 2050/4026MB (cached 23MB) CPU [40%@1479,40%@1479,36%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C CPU@35C PMIC@50C GPU@31.5C AO@41.5C thermal@32.25C
2023-09-04 23:25:32 RAM 3400/3956MB (lfb 1x4MB) SWAP 2043/4026MB (cached 14MB) CPU [39%@1479,41%@1479,37%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C CPU@34C PMIC@50C GPU@31C AO@41.5C thermal@32.75C
2023-09-04 23:26:32 RAM 3398/3956MB (lfb 1x4MB) SWAP 2041/4026MB (cached 14MB) CPU [39%@1479,40%@1479,37%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 97% PLL@31C CPU@34.5C PMIC@50C GPU@31.5C AO@41.5C thermal@33.5C
2023-09-04 23:27:32 RAM 3390/3956MB (lfb 1x4MB) SWAP 2041/4026MB (cached 6MB) CPU [40%@1479,40%@1479,35%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@31C CPU@34C PMIC@50C GPU@31C AO@41.5C thermal@33.5C
2023-09-04 23:28:32 RAM 3388/3956MB (lfb 1x4MB) SWAP 2041/4026MB (cached 6MB) CPU [39%@1479,40%@1479,36%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C CPU@36C PMIC@50C GPU@31C AO@42C thermal@33C
2023-09-04 23:29:32 RAM 3390/3956MB (lfb 1x4MB) SWAP 2041/4026MB (cached 6MB) CPU [41%@1479,38%@1479,35%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 94% PLL@30.5C CPU@35C PMIC@50C GPU@32C AO@41.5C thermal@32.75C
2023-09-04 23:30:32 RAM 3388/3956MB (lfb 1x4MB) SWAP 2041/4026MB (cached 6MB) CPU [40%@1479,38%@1479,38%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 1% PLL@30.5C CPU@34.5C PMIC@50C GPU@32C AO@41.5C thermal@33.5C
2023-09-04 23:31:32 RAM 3393/3956MB (lfb 1x4MB) SWAP 2041/4026MB (cached 6MB) CPU [41%@1479,38%@1479,37%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 59% PLL@30.5C CPU@35.5C PMIC@50C GPU@32C AO@42C thermal@33.5C
2023-09-04 23:32:32 RAM 3387/3956MB (lfb 1x4MB) SWAP 2042/4026MB (cached 4MB) CPU [38%@1326,36%@1326,40%@1326,39%@1326] EMC_FREQ 0% GR3D_FREQ 99% PLL@31C CPU@35.5C PMIC@50C GPU@31.5C AO@41.5C thermal@33.25C
2023-09-04 23:33:32 RAM 3383/3956MB (lfb 1x4MB) SWAP 2042/4026MB (cached 4MB) CPU [39%@1479,37%@1479,40%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 41% PLL@31C CPU@35C PMIC@50C GPU@32C AO@41.5C thermal@33.5C
2023-09-04 23:34:32 RAM 3389/3956MB (lfb 1x4MB) SWAP 2042/4026MB (cached 4MB) CPU [37%@1479,39%@1479,42%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C CPU@35C PMIC@50C GPU@31.5C AO@42C thermal@33.25C
2023-09-04 23:35:32 RAM 3379/3956MB (lfb 1x2MB) SWAP 2046/4026MB (cached 4MB) CPU [41%@1479,41%@1479,38%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C CPU@35.5C PMIC@50C GPU@32C AO@41.5C thermal@33C
2023-09-04 23:36:32 RAM 3386/3956MB (lfb 22x1MB) SWAP 2046/4026MB (cached 4MB) CPU [40%@1479,40%@1479,35%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 72% PLL@30.5C CPU@35C PMIC@50C GPU@31.5C AO@41.5C thermal@33.25C
2023-09-04 23:37:32 RAM 3378/3956MB (lfb 9x4MB) SWAP 2046/4026MB (cached 4MB) CPU [43%@1479,32%@1479,38%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@30.5C CPU@35C PMIC@50C GPU@31.5C AO@42C thermal@33.25C
2023-09-04 23:38:32 RAM 3386/3956MB (lfb 11x4MB) SWAP 2046/4026MB (cached 4MB) CPU [40%@1479,34%@1479,42%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 95% PLL@31C CPU@34C PMIC@50C GPU@31C AO@41.5C thermal@34C
2023-09-04 23:39:32 RAM 3385/3956MB (lfb 11x4MB) SWAP 2046/4026MB (cached 4MB) CPU [40%@1479,36%@1479,38%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C CPU@34.5C PMIC@50C GPU@31C AO@41.5C thermal@33.25C
2023-09-04 23:40:32 RAM 3380/3956MB (lfb 11x4MB) SWAP 2049/4026MB (cached 4MB) CPU [38%@1479,40%@1479,39%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 70% PLL@30.5C CPU@34.5C PMIC@50C GPU@31C AO@41.5C thermal@33C
2023-09-04 23:41:32 RAM 3384/3956MB (lfb 11x4MB) SWAP 2049/4026MB (cached 4MB) CPU [39%@1479,37%@1479,40%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 96% PLL@30.5C CPU@34C PMIC@50C GPU@32C AO@41.5C thermal@32.5C
2023-09-04 23:42:32 RAM 3374/3956MB (lfb 11x4MB) SWAP 2051/4026MB (cached 5MB) CPU [37%@1479,34%@1479,43%@1479,44%@1479] EMC_FREQ 0% GR3D_FREQ 64% PLL@30.5C CPU@35.5C PMIC@50C GPU@32C AO@42C thermal@33C
2023-09-04 23:43:32 RAM 3381/3956MB (lfb 11x4MB) SWAP 2051/4026MB (cached 5MB) CPU [42%@1479,37%@1479,39%@1479,36%@1479] EMC_FREQ 0% GR3D_FREQ 28% PLL@30.5C CPU@35C PMIC@50C GPU@31C AO@41C thermal@33.5C
2023-09-04 23:44:32 RAM 3378/3956MB (lfb 11x4MB) SWAP 2051/4026MB (cached 5MB) CPU [42%@1479,34%@1479,39%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C CPU@34.5C PMIC@50C GPU@31C AO@41C thermal@33.25C
2023-09-04 23:45:32 RAM 3381/3956MB (lfb 11x4MB) SWAP 2052/4026MB (cached 5MB) CPU [42%@1479,40%@1479,34%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C CPU@34C PMIC@50C GPU@31C AO@41.5C thermal@32.25C
2023-09-04 23:46:32 RAM 3378/3956MB (lfb 11x4MB) SWAP 2052/4026MB (cached 5MB) CPU [39%@1479,39%@1479,36%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 15% PLL@30.5C CPU@35.5C PMIC@50C GPU@32C AO@42C thermal@33.75C
2023-09-04 23:47:32 RAM 3374/3956MB (lfb 11x4MB) SWAP 2052/4026MB (cached 5MB) CPU [40%@1479,35%@1479,40%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C CPU@34C PMIC@50C GPU@31C AO@42C thermal@32.5C
2023-09-04 23:48:32 RAM 3380/3956MB (lfb 11x4MB) SWAP 2047/4026MB (cached 5MB) CPU [38%@1479,38%@1479,38%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C CPU@35C PMIC@50C GPU@31.5C AO@42C thermal@33C
