Filename,Frente+Umida,Fundo+Intermediaria,Meio+Seca,camendoim6sCenL1
frame04041.png,0.10284149,0.24770133,0.15572098,0.4937362
frame04091.png,0.10141712,0.24428956,0.15463707,0.4996562
frame04161.png,0.09960578,0.23624596,0.15214512,0.5120031
frame04201.png,0.10231262,0.24537104,0.15485765,0.4974587
frame04241.png,0.09741921,0.22975798,0.14893831,0.52388453
frame04311.png,0.09697367,0.2283371,0.1494443,0.52524495
frame04531.png,0.104570575,0.25518307,0.16151902,0.4787274
frame04561.png,0.10741978,0.26610118,0.16536489,0.46111414
frame04611.png,0.10975848,0.26747543,0.1636922,0.4590739
frame04661.png,0.10944791,0.2623253,0.16324764,0.4649792
frame04711.png,0.10616123,0.2574526,0.1598992,0.47648695
frame04721.png,0.10595465,0.2574701,0.15983774,0.4767375
frame04731.png,0.1059937,0.25756073,0.15985519,0.47659042
frame04741.png,0.10598738,0.2573781,0.15976746,0.47686708
frame04901.png,0.10191088,0.24292861,0.15510176,0.50005877
frame04921.png,0.101704404,0.24066868,0.15442653,0.50320035
frame04971.png,0.10166462,0.2398769,0.15330085,0.5051576
frame05031.png,0.10066288,0.24064294,0.15409832,0.5045958
frame05061.png,0.099616006,0.2379903,0.15283757,0.5095562
frame05121.png,0.09658784,0.22902764,0.14856571,0.5258188
frame05191.png,0.09550149,0.22934292,0.14871038,0.5264452
frame05221.png,0.09558248,0.22950539,0.14875641,0.5261557
frame05301.png,0.096634574,0.23644803,0.15155776,0.5153597
frame05381.png,0.09952575,0.24221365,0.15610898,0.5021516
frame05401.png,0.10200446,0.25081867,0.15939341,0.48778343
frame05431.png,0.101945356,0.2508149,0.15942,0.4878197
frame05461.png,0.10003058,0.24420165,0.15705755,0.49871022
frame05481.png,0.100206465,0.24471055,0.15731646,0.4977666
frame05491.png,0.09995856,0.24459128,0.15719658,0.49825355
frame05501.png,0.09988557,0.24427181,0.15707573,0.49876696
frame05521.png,0.102704465,0.2467646,0.15760852,0.49292237
frame05551.png,0.10230153,0.250101,0.15865695,0.48894048
frame05651.png,0.100965105,0.24666351,0.15701585,0.49535552
frame05661.png,0.100853294,0.24654937,0.15701595,0.4955814
frame05761.png,0.102151714,0.24124898,0.15434773,0.5022515
frame05821.png,0.101183295,0.24152753,0.15413362,0.5031556
frame05971.png,0.09971907,0.23707193,0.15171368,0.5114953
frame06061.png,0.09980406,0.2351744,0.15146585,0.5135557
frame06071.png,0.09956827,0.23451893,0.15111592,0.5147969
frame06101.png,0.09843608,0.23255573,0.14982523,0.519183
frame06181.png,0.09869622,0.22997399,0.14941536,0.5219145
frame06211.png,0.10000489,0.23750408,0.15311925,0.50937176
frame06251.png,0.09972163,0.23690924,0.15322594,0.51014316
frame06261.png,0.09986556,0.23735029,0.15343763,0.50934654
frame06271.png,0.09979896,0.23704043,0.15328507,0.50987554
frame06341.png,0.102693185,0.24766374,0.15604052,0.49360257
frame06371.png,0.10273292,0.24802455,0.15615927,0.49308324
