2023-08-31 04:49:57 RAM 3392/3956MB (lfb 8x4MB) SWAP 1288/4026MB (cached 79MB) CPU [39%@1479,39%@1479,40%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@42.5C PMIC@50C GPU@39.5C AO@50C thermal@41.5C
2023-08-31 04:50:57 RAM 3391/3956MB (lfb 8x4MB) SWAP 1288/4026MB (cached 79MB) CPU [42%@1479,35%@1479,42%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43.5C PMIC@50C GPU@39.5C AO@49.5C thermal@41.5C
2023-08-31 04:51:57 RAM 3395/3956MB (lfb 8x4MB) SWAP 1288/4026MB (cached 79MB) CPU [37%@1479,40%@1479,41%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@40C CPU@43C PMIC@50C GPU@40C AO@50C thermal@42C
2023-08-31 04:52:57 RAM 3395/3956MB (lfb 8x4MB) SWAP 1288/4026MB (cached 79MB) CPU [39%@1479,39%@1479,39%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@44C PMIC@50C GPU@40.5C AO@51C thermal@41.5C
2023-08-31 04:53:57 RAM 3397/3956MB (lfb 8x4MB) SWAP 1288/4026MB (cached 79MB) CPU [39%@1479,39%@1479,41%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 93% PLL@39C CPU@42C PMIC@50C GPU@40C AO@50.5C thermal@41.75C
2023-08-31 04:54:57 RAM 3400/3956MB (lfb 7x4MB) SWAP 1288/4026MB (cached 79MB) CPU [39%@1479,36%@1479,41%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 30% PLL@39C CPU@44C PMIC@50C GPU@40.5C AO@50C thermal@41.75C
2023-08-31 04:55:57 RAM 3399/3956MB (lfb 7x4MB) SWAP 1288/4026MB (cached 79MB) CPU [38%@1479,36%@1479,39%@1479,45%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@39C CPU@44C PMIC@50C GPU@40C AO@50.5C thermal@42C
2023-08-31 04:56:57 RAM 3402/3956MB (lfb 10x4MB) SWAP 1288/4026MB (cached 79MB) CPU [40%@1479,35%@1479,36%@1479,43%@1479] EMC_FREQ 0% GR3D_FREQ 74% PLL@39C CPU@42.5C PMIC@50C GPU@40C AO@50C thermal@41.5C
2023-08-31 04:57:57 RAM 3409/3956MB (lfb 10x4MB) SWAP 1288/4026MB (cached 80MB) CPU [37%@1479,41%@1479,39%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 35% PLL@39C CPU@43.5C PMIC@50C GPU@40C AO@50C thermal@41.75C
2023-08-31 04:58:57 RAM 3409/3956MB (lfb 10x4MB) SWAP 1288/4026MB (cached 80MB) CPU [40%@1479,41%@1479,36%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 97% PLL@38.5C CPU@43.5C PMIC@50C GPU@40C AO@50C thermal@41.25C
