2023-09-04 06:11:24 RAM 3297/3956MB (lfb 3x4MB) SWAP 1972/4026MB (cached 172MB) CPU [41%@1479,35%@1479,40%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 67% PLL@28.5C CPU@32C PMIC@50C GPU@29C AO@38.5C thermal@30.25C
2023-09-04 06:12:24 RAM 3297/3956MB (lfb 3x4MB) SWAP 1971/4026MB (cached 172MB) CPU [39%@1479,36%@1479,45%@1479,38%@1479] EMC_FREQ 0% GR3D_FREQ 94% PLL@28C CPU@32C PMIC@50C GPU@28.5C AO@38.5C thermal@30.5C
2023-09-04 06:13:24 RAM 3297/3956MB (lfb 3x4MB) SWAP 1971/4026MB (cached 172MB) CPU [39%@1479,38%@1479,40%@1479,40%@1479] EMC_FREQ 0% GR3D_FREQ 70% PLL@28.5C CPU@31.5C PMIC@50C GPU@29C AO@38.5C thermal@30.5C
2023-09-04 06:14:24 RAM 3297/3956MB (lfb 3x4MB) SWAP 1971/4026MB (cached 172MB) CPU [36%@1479,36%@1479,42%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@31C PMIC@50C GPU@28.5C AO@38C thermal@30C
2023-09-04 06:15:24 RAM 3299/3956MB (lfb 3x4MB) SWAP 1969/4026MB (cached 171MB) CPU [41%@1479,39%@1479,40%@1479,39%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@50C GPU@29C AO@39C thermal@30.75C
2023-09-04 06:16:24 RAM 3298/3956MB (lfb 3x4MB) SWAP 1963/4026MB (cached 171MB) CPU [38%@1479,36%@1479,40%@1479,45%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@31C PMIC@50C GPU@28.5C AO@38.5C thermal@30.5C
2023-09-04 06:17:24 RAM 3303/3956MB (lfb 3x4MB) SWAP 1963/4026MB (cached 171MB) CPU [36%@1479,36%@1479,42%@1479,43%@1479] EMC_FREQ 0% GR3D_FREQ 71% PLL@28C CPU@31.5C PMIC@50C GPU@28.5C AO@38.5C thermal@31C
2023-09-04 06:18:24 RAM 3296/3956MB (lfb 4x4MB) SWAP 1963/4026MB (cached 171MB) CPU [42%@1479,38%@1479,36%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 31% PLL@28C CPU@32.5C PMIC@50C GPU@29C AO@38.5C thermal@30.75C
2023-09-04 06:19:24 RAM 3298/3956MB (lfb 4x4MB) SWAP 1962/4026MB (cached 171MB) CPU [38%@1479,38%@1479,43%@1479,37%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@31C PMIC@50C GPU@28.5C AO@38C thermal@30.25C
2023-09-04 06:20:24 RAM 3297/3956MB (lfb 4x4MB) SWAP 1962/4026MB (cached 171MB) CPU [42%@1479,39%@1479,35%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 87% PLL@28.5C CPU@31C PMIC@50C GPU@29C AO@38.5C thermal@30.25C
