2023-08-30 22:44:23 RAM 3511/3956MB (lfb 27x1MB) SWAP 1456/4026MB (cached 171MB) CPU [16%@1224,17%@1224,17%@1224,18%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@45C CPU@50C PMIC@50C GPU@47.5C AO@56.5C thermal@48.5C
2023-08-30 22:45:23 RAM 3512/3956MB (lfb 27x1MB) SWAP 1456/4026MB (cached 171MB) CPU [20%@1479,21%@1479,18%@1479,20%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@45.5C CPU@50C PMIC@50C GPU@48C AO@57C thermal@48.5C
2023-08-30 22:46:23 RAM 3517/3956MB (lfb 27x1MB) SWAP 1455/4026MB (cached 171MB) CPU [22%@1479,23%@1479,22%@1479,22%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@46C CPU@50.5C PMIC@50C GPU@47.5C AO@57C thermal@49C
2023-08-30 22:47:23 RAM 3514/3956MB (lfb 27x1MB) SWAP 1455/4026MB (cached 171MB) CPU [24%@1224,23%@1224,22%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@45.5C CPU@49.5C PMIC@50C GPU@47.5C AO@57C thermal@48.25C
2023-08-30 22:48:23 RAM 3515/3956MB (lfb 27x1MB) SWAP 1455/4026MB (cached 171MB) CPU [19%@1224,19%@1224,14%@1224,18%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@45C CPU@49C PMIC@50C GPU@47C AO@56.5C thermal@48.25C
2023-08-30 22:49:23 RAM 3520/3956MB (lfb 27x1MB) SWAP 1455/4026MB (cached 171MB) CPU [19%@1479,19%@1479,16%@1479,19%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@46C CPU@49.5C PMIC@50C GPU@47C AO@56.5C thermal@48.25C
2023-08-30 22:50:23 RAM 3526/3956MB (lfb 27x1MB) SWAP 1455/4026MB (cached 171MB) CPU [25%@1479,22%@1479,18%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@45.5C CPU@51C PMIC@50C GPU@47.5C AO@56.5C thermal@48C
2023-08-30 22:51:23 RAM 3521/3956MB (lfb 27x1MB) SWAP 1455/4026MB (cached 171MB) CPU [24%@1479,21%@1479,22%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@45.5C CPU@50C PMIC@50C GPU@47C AO@56.5C thermal@48C
2023-08-30 22:52:23 RAM 3523/3956MB (lfb 27x1MB) SWAP 1455/4026MB (cached 171MB) CPU [21%@1224,19%@1224,21%@1224,20%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@49C PMIC@50C GPU@46.5C AO@56C thermal@47.75C
2023-08-30 22:53:23 RAM 3526/3956MB (lfb 27x1MB) SWAP 1450/4026MB (cached 171MB) CPU [16%@1224,15%@1224,17%@1224,16%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@48.5C PMIC@50C GPU@46.5C AO@56.5C thermal@48C
2023-08-30 22:54:23 RAM 3520/3956MB (lfb 27x1MB) SWAP 1450/4026MB (cached 171MB) CPU [23%@1479,21%@1479,24%@1479,21%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@49C PMIC@50C GPU@46.5C AO@56C thermal@48C
2023-08-30 22:55:23 RAM 3525/3956MB (lfb 27x1MB) SWAP 1450/4026MB (cached 171MB) CPU [24%@1224,22%@1224,22%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@45C CPU@49.5C PMIC@50C GPU@47C AO@56.5C thermal@48.75C
2023-08-30 22:56:23 RAM 3528/3956MB (lfb 27x1MB) SWAP 1450/4026MB (cached 171MB) CPU [20%@1224,21%@1224,23%@1224,22%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@45.5C CPU@49.5C PMIC@50C GPU@47.5C AO@57C thermal@48.25C
2023-08-30 22:57:23 RAM 3529/3956MB (lfb 25x1MB) SWAP 1450/4026MB (cached 171MB) CPU [17%@1224,16%@1224,12%@1224,12%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@46C CPU@50.5C PMIC@50C GPU@48C AO@57.5C thermal@48.75C
2023-08-30 22:58:23 RAM 3521/3956MB (lfb 25x1MB) SWAP 1450/4026MB (cached 171MB) CPU [22%@1224,26%@1224,20%@1224,23%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@46C CPU@50.5C PMIC@50C GPU@47.5C AO@57C thermal@49.5C
2023-08-30 22:59:23 RAM 3517/3956MB (lfb 11x1MB) SWAP 1502/4026MB (cached 170MB) CPU [29%@1479,28%@1479,25%@1479,24%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@47C CPU@51C PMIC@50C GPU@48.5C AO@58.5C thermal@49.75C
2023-08-30 23:00:23 RAM 3520/3956MB (lfb 11x1MB) SWAP 1510/4026MB (cached 170MB) CPU [22%@1224,27%@1224,25%@1224,26%@1224] EMC_FREQ 0% GR3D_FREQ 99% PLL@47C CPU@51C PMIC@50C GPU@48.5C AO@58.5C thermal@49.75C
