2023-08-30 19:05:13 RAM 3225/3956MB (lfb 94x4MB) SWAP 1545/4026MB (cached 104MB) CPU [23%@403,20%@307,23%@307,20%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@47.5C PMIC@50C GPU@44.5C AO@54.5C thermal@46.25C
2023-08-30 19:06:13 RAM 3227/3956MB (lfb 94x4MB) SWAP 1547/4026MB (cached 104MB) CPU [26%@1479,30%@1479,23%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@47.5C PMIC@50C GPU@45C AO@55C thermal@46C
2023-08-30 19:07:13 RAM 3235/3956MB (lfb 94x4MB) SWAP 1558/4026MB (cached 105MB) CPU [40%@1479,28%@1479,31%@1479,23%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@49C PMIC@50C GPU@45C AO@55C thermal@46.25C
2023-08-30 19:08:13 RAM 3212/3956MB (lfb 94x4MB) SWAP 1589/4026MB (cached 105MB) CPU [61%@1479,29%@1479,29%@1479,32%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@48C PMIC@50C GPU@45C AO@55C thermal@46.25C
2023-08-30 19:09:13 RAM 3217/3956MB (lfb 94x4MB) SWAP 1585/4026MB (cached 103MB) CPU [36%@1479,20%@1479,25%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@48C PMIC@50C GPU@45.5C AO@55.5C thermal@46.75C
2023-08-30 19:10:13 RAM 3239/3956MB (lfb 94x4MB) SWAP 1585/4026MB (cached 103MB) CPU [38%@1479,28%@1479,27%@1479,28%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@48.5C PMIC@50C GPU@45.5C AO@55.5C thermal@47C
2023-08-30 19:11:13 RAM 3213/3956MB (lfb 94x4MB) SWAP 1585/4026MB (cached 103MB) CPU [26%@307,29%@307,29%@307,24%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@47.5C PMIC@50C GPU@45.5C AO@55C thermal@46.5C
2023-08-30 19:12:13 RAM 3213/3956MB (lfb 94x4MB) SWAP 1585/4026MB (cached 103MB) CPU [25%@204,22%@204,24%@204,22%@204] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47.5C PMIC@50C GPU@45.5C AO@54.5C thermal@46.25C
2023-08-30 19:13:13 RAM 3217/3956MB (lfb 94x4MB) SWAP 1585/4026MB (cached 103MB) CPU [29%@307,25%@307,25%@307,24%@307] EMC_FREQ 0% GR3D_FREQ 99% PLL@43C CPU@47.5C PMIC@50C GPU@45C AO@55C thermal@46.25C
2023-08-30 19:14:13 RAM 3211/3956MB (lfb 94x4MB) SWAP 1585/4026MB (cached 103MB) CPU [30%@1479,29%@1479,25%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44C CPU@47.5C PMIC@50C GPU@45C AO@55C thermal@46.25C
2023-08-30 19:15:13 RAM 3211/3956MB (lfb 94x4MB) SWAP 1584/4026MB (cached 103MB) CPU [26%@518,26%@518,33%@518,25%@518] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@48C PMIC@50C GPU@45.5C AO@55.5C thermal@47.25C
2023-08-30 19:16:13 RAM 3216/3956MB (lfb 94x4MB) SWAP 1584/4026MB (cached 103MB) CPU [25%@1479,20%@1479,19%@1479,18%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@43.5C CPU@47.5C PMIC@50C GPU@45C AO@55C thermal@45.75C
2023-08-30 19:17:13 RAM 3212/3956MB (lfb 94x4MB) SWAP 1584/4026MB (cached 103MB) CPU [27%@1479,29%@1479,33%@1479,25%@1479] EMC_FREQ 0% GR3D_FREQ 99% PLL@44.5C CPU@48.5C PMIC@50C GPU@45.5C AO@55.5C thermal@47C
