Filename,Frente+Umida,Fundo+Intermediaria,Meio+Seca,camendoim6sCenL1
frame04921.png,0.20425776,0.2482307,0.23140202,0.3161095
frame04971.png,0.19615446,0.24006288,0.2180399,0.34574276
frame05031.png,0.19813232,0.23809974,0.21726723,0.34650066
frame05061.png,0.20070277,0.24517027,0.226787,0.32733992
frame05121.png,0.19947766,0.24385901,0.22423442,0.33242896
frame05191.png,0.20235303,0.24486037,0.22703658,0.32575002
frame05221.png,0.20325768,0.24581599,0.22874644,0.32217982
frame05301.png,0.19840546,0.24161902,0.22032034,0.33965516
frame05381.png,0.1997128,0.24278484,0.22295995,0.33454236
frame05401.png,0.20152132,0.24147107,0.22224623,0.33476135
frame05431.png,0.20126645,0.24130286,0.2218423,0.3355884
frame05461.png,0.1987326,0.24130888,0.22054414,0.3394144
frame05481.png,0.19913612,0.24111563,0.22037205,0.33937618
frame05491.png,0.20033462,0.24319904,0.22370484,0.33276147
frame05501.png,0.20006333,0.24237199,0.22248802,0.33507663
frame05521.png,0.20385571,0.24440673,0.2269995,0.3247381
frame05551.png,0.19988087,0.24252298,0.22199725,0.33559892
frame05651.png,0.20255949,0.24318086,0.22477575,0.32948387
frame05661.png,0.20243523,0.24314013,0.22469568,0.329729
frame05761.png,0.20420411,0.25063175,0.23406184,0.31110233
frame05821.png,0.20085932,0.24952672,0.23141606,0.31819785
frame05971.png,0.19488367,0.24099281,0.21859968,0.34552386
frame06061.png,0.20147432,0.24602468,0.22790362,0.3245974
frame06071.png,0.201786,0.24636292,0.22852305,0.32332805
frame06101.png,0.19765076,0.23975118,0.2188554,0.3437427
frame06181.png,0.19804111,0.24414203,0.22329882,0.33451805
frame06211.png,0.20019452,0.24622044,0.22716422,0.32642084
frame06251.png,0.20289002,0.24760458,0.23088342,0.31862193
frame06261.png,0.20303358,0.2479446,0.23131171,0.3177101
frame06271.png,0.20309243,0.24793504,0.23142718,0.31754535
frame06341.png,0.19903731,0.24349192,0.22317165,0.33429906
frame06371.png,0.19831891,0.24290445,0.22209679,0.33667985
frame06441.png,0.20179641,0.24724266,0.2290188,0.32194218
frame06451.png,0.20115645,0.24640746,0.22761925,0.32481685
